;Waktu;Jalan;Lat;Long;JarakLampu;Tahun
Rabu, 21 Februari 2018 Jam. 19.00 Wib;malam;ArteriPrimer;-7.602577778;112.0871222;859.8538869;2018
Sabtu, 24 Februari 2018 Jam. 22.00 Wib;malam;Lokal;-7.554163889;112.1132833;170.0644077;2018
Sabtu, 24 Februari 2018 Jam. 09.00 Wib;siang;ArteriPrimer;-7.577702778;111.8689667;558.850494;2018
Sabtu, 24 Februari 2018 Jam. 10.00 Wib;siang;ArteriPrimer;-7.582711111;111.87695;224.7569805;2018
Sabtu, 24 Februari 2018 Jam. 19.30 Wib;malam;KolektorPrimer;-7.631258333;112.0178583;262.6172583;2018
Minggu, 25 Februari 2018 Jam. 06.30 Wib;siang;ArteriPrimer;-7.577702778;111.8689667;558.850494;2018
Minggu, 25 Februari 2018 Jam. 11.30 Wib;siang;Lokal;-7.617691667;112.0871611;2654.462412;2018
Minggu, 25 Februari 2018 Jam. 11.15 Wib;siang;KolektorSekunder;-7.695094444;112.0434833;1168.746093;2018
Minggu, 25 Februari 2018 Jam. 13.15 Wib;siang;KolektorPrimer;-7.693747222;112.0192528;422.8902298;2018
Minggu, 25 Februari 2018 Jam. 16.25 Wib;siang;KolektorPrimer;-7.527561111;111.9057583;1508.188407;2018
Senin, 26 Februari 2018 Jam. 12.30 Wib;siang;ArteriPrimer;-7.600727778;112.0977583;189.0076464;2018
Senin, 26 Februari 2018 Jam. 18.00 Wib;malam;KolektorSekunder;-7.613877778;111.8767472;99.01389085;2018
Selasa, 27 Februari 2018 Jam. 06.30 Wib;siang;Lokal;-7.609183333;111.9090944;289.555959;2018
Selasa, 27 Februari 2018 Jam. 09.00 Wib;siang;KolektorSekunder;-7.706994444;111.7929417;7611.274506;2018
Selasa, 27 Februari 2018 Jam. 17.00 Wib;siang;KolektorSekunder;-7.616030556;111.8863694;0.7846054;2018
Selasa, 27 Februari 2018 Jam. 18.30 Wib;malam;ArteriPrimer;-7.602713889;111.94395;137.4456129;2018
Rabu, 28 Februari 2018 Jam. 08.30 Wib;siang;Lokal;-7.538997222;112.1120556;2151.772269;2018
Jumat, 02 Maret 2018 Jam. 09.00 Wib;siang;KolektorPrimer;-7.650030556;112.0132722;1205.201885;2018
Sabtu, 03 Maret 2018 Jam. 02.30 Wib;malam;ArteriPrimer;-7.602652778;111.9443389;119.5440623;2018
Sabtu, 03 Maret 2018 Jam. 10.00 Wib ;siang;Lokal;-7.62745;112.0045778;1561.213719;2018
Sabtu, 03 Maret 2018 Jam. 16.00 Wib;siang;ArteriPrimer;-7.559086111;111.8026806;4181.748802;2018
